recency,frequency,monetary,time,donated_in_march_07
2,6,1.5,75,-1
11,8,2.0,41,1
11,3,0.75,16,1
12,13,3.25,59,-1
2,3,0.75,35,-1
16,8,2.0,28,-1
11,7,1.75,37,-1
4,3,0.75,28,-1
12,12,3.0,58,-1
4,4,1.0,41,-1
11,14,3.5,73,1
2,2,0.5,23,-1
2,3,0.75,38,1
4,5,1.25,58,-1
4,4,1.0,43,1
3,2,0.5,23,-1
11,8,2.0,46,-1
4,7,1.75,82,-1
13,4,1.0,21,-1
16,11,2.75,40,-1
16,7,1.75,28,-1
7,2,0.5,16,-1
4,5,1.25,58,-1
4,5,1.25,58,-1
4,4,1.0,46,-1
14,13,3.25,57,-1
4,3,0.75,34,-1
14,18,4.5,78,-1
11,8,2.0,48,-1
14,16,4.0,70,-1
14,4,1.0,22,1
14,5,1.25,26,-1
8,2,0.5,16,-1
11,5,1.25,33,-1
11,2,0.5,14,-1
4,2,0.5,23,-1
9,2,0.5,16,1
14,5,1.25,28,1
14,3,0.75,19,1
14,4,1.0,23,1
16,12,3.0,50,-1
11,4,1.0,28,-1
11,5,1.25,35,-1
11,5,1.25,35,-1
2,4,1.0,70,-1
14,5,1.25,28,-1
14,2,0.5,14,-1
14,2,0.5,14,-1
14,2,0.5,14,-1
14,2,0.5,14,-1
14,2,0.5,14,-1
14,2,0.5,14,-1
2,3,0.75,52,-1
14,6,1.5,34,-1
11,5,1.25,37,1
4,5,1.25,74,-1
11,3,0.75,23,-1
16,4,1.0,23,-1
16,3,0.75,19,-1
11,5,1.25,38,-1
11,2,0.5,16,-1
12,9,2.25,60,-1
9,1,0.25,9,-1
9,1,0.25,9,-1
4,2,0.5,29,-1
11,2,0.5,17,-1
14,4,1.0,26,-1
11,9,2.25,72,1
11,5,1.25,41,-1
15,16,4.0,82,-1
9,5,1.25,51,1
11,4,1.0,34,-1
14,8,2.0,50,1
16,7,1.75,38,-1
14,2,0.5,16,-1
2,2,0.5,41,-1
14,16,4.0,98,-1
14,4,1.0,28,1
16,7,1.75,39,-1
14,7,1.75,47,-1
16,6,1.5,35,-1
16,6,1.5,35,1
11,7,1.75,62,1
16,2,0.5,16,-1
16,3,0.75,21,1
11,3,0.75,28,-1
11,7,1.75,64,-1
11,1,0.25,11,1
9,3,0.75,34,-1
14,4,1.0,30,-1
23,38,9.5,98,-1
11,6,1.5,58,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,2,0.5,21,-1
11,5,1.25,50,-1
11,2,0.5,21,-1
16,4,1.0,28,-1
4,2,0.5,41,-1
16,6,1.5,40,-1
14,3,0.75,26,-1
9,2,0.5,26,-1
21,16,4.0,64,-1
14,6,1.5,51,-1
11,2,0.5,24,-1
4,3,0.75,71,-1
21,13,3.25,57,-1
11,6,1.5,71,-1
14,2,0.5,21,1
23,15,3.75,57,-1
14,4,1.0,38,-1
11,2,0.5,26,-1
16,5,1.25,40,1
4,2,0.5,51,1
14,3,0.75,31,-1
4,2,0.5,52,-1
9,4,1.0,65,-1
14,4,1.0,40,-1
11,3,0.75,40,1
14,5,1.25,50,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,7,1.75,72,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
9,3,0.75,52,-1
14,7,1.75,73,-1
11,4,1.0,58,-1
11,4,1.0,59,-1
4,2,0.5,59,-1
11,4,1.0,61,-1
16,4,1.0,40,-1
16,10,2.5,89,-1
21,2,0.5,21,1
21,3,0.75,26,-1
16,8,2.0,76,-1
21,3,0.75,26,1
18,2,0.5,23,-1
23,5,1.25,33,-1
23,8,2.0,46,-1
16,3,0.75,34,-1
14,5,1.25,64,-1
14,3,0.75,41,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,4,1.0,45,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,2,0.5,26,-1
21,2,0.5,23,-1
16,2,0.5,27,-1
21,2,0.5,23,-1
21,2,0.5,23,-1
14,4,1.0,57,-1
16,5,1.25,60,-1
23,2,0.5,23,-1
14,5,1.25,74,-1
23,3,0.75,28,-1
16,3,0.75,40,-1
9,2,0.5,52,-1
9,2,0.5,52,-1
16,7,1.75,87,1
14,4,1.0,64,-1
14,2,0.5,35,-1
16,7,1.75,93,-1
21,2,0.5,25,-1
14,3,0.75,52,-1
23,14,3.5,93,-1
18,8,2.0,95,-1
16,3,0.75,46,-1
11,3,0.75,76,-1
11,2,0.5,52,-1
11,3,0.75,76,-1
23,12,3.0,86,-1
21,3,0.75,35,-1
23,2,0.5,26,-1
23,2,0.5,26,-1
23,8,2.0,64,-1
16,3,0.75,50,-1
23,3,0.75,33,-1
21,3,0.75,38,-1
23,2,0.5,28,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,1,0.25,21,1
21,1,0.25,21,-1
21,1,0.25,21,-1
21,5,1.25,60,-1
23,4,1.0,45,-1
21,4,1.0,52,-1
22,1,0.25,22,1
11,2,0.5,70,-1
23,5,1.25,58,-1
23,3,0.75,40,-1
23,3,0.75,41,-1
14,3,0.75,83,-1
21,2,0.5,35,-1
26,5,1.25,49,1
23,6,1.5,70,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,4,1.0,53,-1
21,6,1.5,86,-1
23,3,0.75,48,-1
21,2,0.5,41,-1
21,3,0.75,64,-1
16,2,0.5,70,-1
21,3,0.75,70,-1
23,4,1.0,87,-1
23,3,0.75,89,-1
23,2,0.5,87,-1
35,3,0.75,64,-1
38,1,0.25,38,-1
38,1,0.25,38,-1
40,1,0.25,40,-1
74,1,0.25,74,-1
2,43,10.75,86,1
6,22,5.5,28,1
2,34,8.5,77,1
2,44,11.0,98,-1
0,26,6.5,76,1
2,41,10.25,98,1
3,21,5.25,42,1
2,11,2.75,23,-1
2,21,5.25,52,1
2,13,3.25,32,1
4,4,1.0,4,1
2,11,2.75,26,-1
2,11,2.75,28,-1
3,14,3.5,35,-1
4,16,4.0,38,1
4,6,1.5,14,-1
3,5,1.25,12,1
4,33,8.25,98,1
3,10,2.5,33,1
4,10,2.5,28,1
2,11,2.75,40,1
2,11,2.75,41,1
4,13,3.25,39,1
1,10,2.5,43,1
4,9,2.25,28,-1
2,4,1.0,11,-1
2,5,1.25,16,1
2,15,3.75,64,-1
5,24,6.0,79,-1
2,6,1.5,22,1
4,5,1.25,16,1
2,4,1.0,14,1
4,8,2.0,28,-1
2,4,1.0,14,-1
2,6,1.5,26,-1
4,5,1.25,16,1
2,7,1.75,32,1
2,6,1.5,26,1
2,8,2.0,38,1
2,2,0.5,4,1
2,6,1.5,28,1
2,10,2.5,52,-1
4,16,4.0,70,1
4,2,0.5,4,1
1,14,3.5,95,-1
4,2,0.5,4,1
7,14,3.5,48,-1
2,3,0.75,11,-1
2,12,3.0,70,1
4,7,1.75,32,1
4,4,1.0,16,-1
2,6,1.5,35,1
4,6,1.5,28,1
2,3,0.75,14,-1
2,4,1.0,23,-1
4,4,1.0,18,-1
5,6,1.5,28,-1
4,6,1.5,30,-1
14,5,1.25,14,-1
3,8,2.0,50,-1
4,11,2.75,64,1
4,9,2.25,52,-1
4,16,4.0,98,1
7,10,2.5,47,-1
4,14,3.5,86,-1
2,9,2.25,75,-1
4,6,1.5,35,-1
4,9,2.25,55,-1
4,6,1.5,35,1
2,6,1.5,45,-1
2,6,1.5,47,-1
4,2,0.5,9,-1
2,2,0.5,11,1
2,2,0.5,11,-1
2,2,0.5,11,1
4,6,1.5,38,1
3,4,1.0,29,1
9,9,2.25,38,-1
11,5,1.25,18,-1
2,3,0.75,21,-1
2,1,0.25,2,-1
2,1,0.25,2,1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
2,1,0.25,2,-1
11,11,2.75,38,-1
2,3,0.75,22,-1
9,11,2.75,49,1
5,11,2.75,75,-1
3,5,1.25,38,-1
3,1,0.25,3,1
4,6,1.5,43,-1
2,3,0.75,24,-1
12,11,2.75,39,-1
2,2,0.5,14,-1
4,6,1.5,46,-1
9,3,0.75,14,-1
14,8,2.0,26,-1
4,2,0.5,13,-1
4,11,2.75,95,-1
2,7,1.75,77,-1
2,7,1.75,77,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,-1
4,1,0.25,4,1
4,1,0.25,4,-1
4,7,1.75,62,-1
4,1,0.25,4,-1
4,4,1.0,34,1
11,6,1.5,28,-1
13,3,0.75,14,1
7,5,1.25,35,-1
9,9,2.25,54,-1
11,2,0.5,11,-1
2,5,1.25,63,-1
7,11,2.75,89,-1
8,9,2.25,64,-1
2,2,0.5,22,-1
6,3,0.75,26,-1
12,15,3.75,71,-1
13,3,0.75,16,-1
11,16,4.0,89,-1
4,5,1.25,58,-1
14,7,1.75,35,-1
11,4,1.0,27,-1
7,9,2.25,89,1
11,8,2.0,52,1
7,5,1.25,52,-1
11,6,1.5,41,-1
10,5,1.25,38,-1
14,2,0.5,14,1
14,2,0.5,14,-1
14,2,0.5,14,-1
2,2,0.5,33,-1
11,3,0.75,23,-1
14,8,2.0,46,-1
9,1,0.25,9,-1
16,5,1.25,27,-1
14,4,1.0,26,-1
4,2,0.5,30,-1
14,3,0.75,21,-1
16,16,4.0,77,-1
4,2,0.5,31,-1
14,8,2.0,50,-1
11,3,0.75,26,-1
14,7,1.75,45,-1
15,5,1.25,33,-1
16,2,0.5,16,-1
16,3,0.75,21,-1
11,8,2.0,72,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,-1
11,1,0.25,11,1
11,1,0.25,11,-1
2,3,0.75,75,1
2,3,0.75,77,-1
16,4,1.0,28,-1
16,15,3.75,87,-1
16,14,3.5,83,-1
16,10,2.5,62,-1
16,3,0.75,23,-1
14,3,0.75,26,-1
23,19,4.75,62,-1
11,7,1.75,75,-1
14,3,0.75,28,-1
20,14,3.5,69,1
4,2,0.5,46,-1
11,2,0.5,25,-1
11,3,0.75,37,-1
16,4,1.0,33,-1
21,7,1.75,38,-1
13,7,1.75,76,-1
16,6,1.5,50,-1
14,3,0.75,33,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
14,1,0.25,14,-1
17,7,1.75,58,1
14,3,0.75,35,-1
14,3,0.75,35,-1
16,7,1.75,64,-1
21,2,0.5,21,-1
16,3,0.75,35,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
16,1,0.25,16,-1
14,2,0.5,29,-1
11,4,1.0,74,-1
11,2,0.5,38,1
21,6,1.5,48,-1
23,2,0.5,23,-1
23,6,1.5,45,-1
14,2,0.5,35,1
16,6,1.5,81,-1
16,4,1.0,58,-1
16,5,1.25,71,-1
21,2,0.5,26,-1
21,3,0.75,35,-1
21,3,0.75,35,-1
23,8,2.0,69,-1
21,3,0.75,38,-1
23,3,0.75,35,-1
21,3,0.75,40,-1
23,2,0.5,28,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
25,6,1.5,50,-1
21,1,0.25,21,-1
21,1,0.25,21,-1
23,3,0.75,39,-1
21,2,0.5,33,-1
14,3,0.75,79,-1
23,1,0.25,23,1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,1,0.25,23,-1
23,4,1.0,52,-1
23,1,0.25,23,-1
23,7,1.75,88,-1
16,3,0.75,86,-1
23,2,0.5,38,-1
21,2,0.5,52,-1
23,3,0.75,62,-1
39,1,0.25,39,-1
72,1,0.25,72,-1
